indicator_id,indicator_name,unit,frequency,week_ending,US_value,US_prior,US_wow_pct,EA_value,EA_prior,EA_wow_pct,SG_value,SG_prior,SG_wow_pct,CN_value,CN_prior,CN_wow_pct,IN_value,IN_prior,IN_wow_pct,SL_value,SL_prior,SL_wow_pct,ingested_at
F2,FX vs USD (WoW %),% WoW,Weekly,2026-02-06,97.62999725341797,96.98999786376953,0.6599,1.177786946296692,1.19657301902771,-1.57,-1.2755800485610962,-1.2638700008392334,0.9265,-6.93779993057251,-6.947999954223633,-0.1468,-90.3147964477539,-91.78189849853516,-1.5985,-306.5799255371094,-306.42279052734375,0.0513,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-02-13,96.87999725341797,97.62999725341797,-0.7682,1.1868449449539185,1.177786946296692,0.7691,-1.2623499631881714,-1.2755800485610962,-1.0372,-6.900100231170654,-6.93779993057251,-0.5434,-90.56410217285156,-90.3147964477539,0.276,-306.5107421875,-306.5799255371094,-0.0226,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-02-20,97.80000305175781,96.87999725341797,0.9496,1.1769136190414429,1.1868449449539185,-0.8368,-1.2684299945831299,-1.2623499631881714,0.4816,-6.908100128173828,-6.900100231170654,0.1159,-91.04109954833984,-90.56410217285156,0.5267,-306.5476989746094,-306.5107421875,0.0121,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-02-27,97.61000061035156,97.80000305175781,-0.1943,1.1803030967712402,1.1769136190414429,0.288,-1.263200044631958,-1.2684299945831299,-0.4123,-6.84089994430542,-6.908100128173828,-0.9728,-91.00740051269531,-91.04109954833984,-0.037,-306.0484619140625,-306.5476989746094,-0.1629,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-03-06,98.98999786376953,97.61000061035156,1.4138,1.1608065366744995,1.1803030967712402,-1.6518,-1.2797000408172607,-1.263200044631958,1.3062,-6.896999835968018,-6.84089994430542,0.8201,-91.78690338134766,-91.00740051269531,0.8565,-307.8605651855469,-306.0484619140625,0.5921,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-03-13,100.36000061035156,98.98999786376953,1.384,1.1521666049957275,1.1608065366744995,-0.7443,-1.278480052947998,-1.2797000408172607,-0.0953,-6.868899822235107,-6.896999835968018,-0.4074,-92.38990020751953,-91.78690338134766,0.657,-308.9574890136719,-307.8605651855469,0.3563,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-03-20,99.6500015258789,100.36000061035156,-0.7075,1.157755732536316,1.1521666049957275,0.4851,-1.277500033378601,-1.278480052947998,-0.0767,-6.899799823760986,-6.868899822235107,0.4499,-93.0822982788086,-92.38990020751953,0.7494,-308.7964172363281,-308.9574890136719,-0.0521,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-03-27,100.1500015258789,99.6500015258789,0.5018,1.1535090208053589,1.157755732536316,-0.3668,-1.2858200073242188,-1.277500033378601,0.6513,-6.910699844360352,-6.899799823760986,0.158,-94.30950164794922,-93.0822982788086,1.3184,-311.1274719238281,-308.7964172363281,0.7549,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-04-03,100.02999877929688,100.1500015258789,-0.1198,1.1541746854782104,1.1535090208053589,0.0577,-1.2848999500274658,-1.2858200073242188,-0.0716,-6.8850998878479,-6.910699844360352,-0.3704,-92.97360229492188,-94.30950164794922,-1.4165,-312.4875183105469,-311.1274719238281,0.4371,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2026-04-10,98.6500015258789,100.02999877929688,-1.3796,1.1691256761550903,1.1541746854782104,1.2954,-1.2732900381088257,-1.2848999500274658,-0.9036,-6.831399917602539,-6.8850998878479,-0.7799,-92.46980285644531,-92.97360229492188,-0.5419,-312.1395263671875,-312.4875183105469,-0.1114,2026-06-09T07:11:59.575720
